
 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 1131 || Số lượng tách: 1130 || Số lượng vật phẩm sau khi tách: 1 và 1130|| Thời gian tách : 2022-05-23 18:11:00

 Name : dungloinua đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-23 18:51:29

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 6510 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 6010 và 500|| Thời gian tách : 2022-05-23 19:50:03

 Name : samishi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 120 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 70 và 50|| Thời gian tách : 2022-05-23 20:51:37

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 321 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 320 và 1|| Thời gian tách : 2022-05-23 21:18:38

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 320 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 319 và 1|| Thời gian tách : 2022-05-23 21:18:52

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 319 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 318 và 1|| Thời gian tách : 2022-05-23 21:19:20

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 318 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 317 và 1|| Thời gian tách : 2022-05-23 21:19:23

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 317 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 316 và 1|| Thời gian tách : 2022-05-23 21:19:30

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 319 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 318 và 1|| Thời gian tách : 2022-05-23 21:19:37

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 319 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 318 và 1|| Thời gian tách : 2022-05-23 21:19:51

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 318 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 317 và 1|| Thời gian tách : 2022-05-23 21:19:56

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 321 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 320 và 1|| Thời gian tách : 2022-05-23 21:23:18

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 323 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 322 và 1|| Thời gian tách : 2022-05-23 21:23:26

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 322 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 321 và 1|| Thời gian tách : 2022-05-23 21:23:30

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 321 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 320 và 1|| Thời gian tách : 2022-05-23 21:23:44

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 320 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 319 và 1|| Thời gian tách : 2022-05-23 21:23:47

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 319 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 318 và 1|| Thời gian tách : 2022-05-23 21:23:53

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 319 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 318 và 1|| Thời gian tách : 2022-05-23 21:27:02

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 318 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 317 và 1|| Thời gian tách : 2022-05-23 21:27:11

