
 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3205 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 2705 và 500|| Thời gian tách : 2022-06-02 00:24:16
 Name : facebook đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1134 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 934 và 200|| Thời gian tách : 2022-06-02 14:34:02

 Name : kiem7x đã tách vật phẩm || Vật phẩm tách: 17 || Số lượng vật phẩm ban đầu 1065 || Số lượng tách: 65 || Số lượng vật phẩm sau khi tách: 1000 và 65|| Thời gian tách : 2022-06-02 14:56:49

 Name : kiem7x đã tách vật phẩm || Vật phẩm tách: 22 || Số lượng vật phẩm ban đầu 1030 || Số lượng tách: 30 || Số lượng vật phẩm sau khi tách: 1000 và 30|| Thời gian tách : 2022-06-02 14:57:07

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 656 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 556 và 100|| Thời gian tách : 2022-06-02 15:11:27

 Name : bangocpk đã tách vật phẩm || Vật phẩm tách: 959 || Số lượng vật phẩm ban đầu 824 || Số lượng tách: 208 || Số lượng vật phẩm sau khi tách: 616 và 208|| Thời gian tách : 2022-06-02 15:59:46

 Name : bangocpk đã tách vật phẩm || Vật phẩm tách: 959 || Số lượng vật phẩm ban đầu 616 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 416 và 200|| Thời gian tách : 2022-06-02 16:15:21

 Name : bangocpk đã tách vật phẩm || Vật phẩm tách: 959 || Số lượng vật phẩm ban đầu 416 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 415 và 1|| Thời gian tách : 2022-06-02 16:15:33

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 903 || Số lượng tách: 400 || Số lượng vật phẩm sau khi tách: 503 và 400|| Thời gian tách : 2022-06-02 16:22:25

 Name : bangocpk đã tách vật phẩm || Vật phẩm tách: 959 || Số lượng vật phẩm ban đầu 415 || Số lượng tách: 201 || Số lượng vật phẩm sau khi tách: 214 và 201|| Thời gian tách : 2022-06-02 16:29:09

 Name : kenchin đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 23 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 21 và 2|| Thời gian tách : 2022-06-02 17:36:18

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 580 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 578 và 2|| Thời gian tách : 2022-06-02 18:07:41

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 578 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 576 và 2|| Thời gian tách : 2022-06-02 18:07:44

