
 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 42 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 41 và 1|| Thời gian tách : 2022-05-25 15:51:14

 Name : vuabip đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 31 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 30 và 1|| Thời gian tách : 2022-05-25 15:51:41

 Name : vuabip đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 30 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 29 và 1|| Thời gian tách : 2022-05-25 15:51:46

 Name : vuabip đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 29 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 28 và 1|| Thời gian tách : 2022-05-25 15:51:51

 Name : vuabip đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 28 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 27 và 1|| Thời gian tách : 2022-05-25 15:51:55

 Name : vuabip đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 27 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 26 và 1|| Thời gian tách : 2022-05-25 15:51:58

 Name : vuabip đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 26 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 25 và 1|| Thời gian tách : 2022-05-25 15:52:04

 Name : vuabip đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 25 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 24 và 1|| Thời gian tách : 2022-05-25 15:52:08

 Name : vuabip đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 24 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 23 và 1|| Thời gian tách : 2022-05-25 15:52:12

 Name : vuabip đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 23 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 22 và 1|| Thời gian tách : 2022-05-25 15:52:16

 Name : ngauvl đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 21 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 20 và 1|| Thời gian tách : 2022-05-25 16:35:46

 Name : ngauvl đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 20 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19 và 1|| Thời gian tách : 2022-05-25 16:35:52

 Name : ngauvl đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 19 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 18 và 1|| Thời gian tách : 2022-05-25 16:35:58

 Name : ngauvl đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 18 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 17 và 1|| Thời gian tách : 2022-05-25 16:36:06

 Name : ngauvl đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 17 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 16 và 1|| Thời gian tách : 2022-05-25 16:36:11

 Name : ngauvl đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 16 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 15 và 1|| Thời gian tách : 2022-05-25 16:36:18

 Name : ngauvl đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 14 và 1|| Thời gian tách : 2022-05-25 16:36:25

 Name : ngauvl đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 14 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 13 và 1|| Thời gian tách : 2022-05-25 16:36:32

 Name : ngauvl đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 13 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 12 và 1|| Thời gian tách : 2022-05-25 16:36:39

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 578 || Số lượng vật phẩm ban đầu 1829 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 829 và 1000|| Thời gian tách : 2022-05-25 16:48:33

 Name : cocailon đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 1430 || Số lượng tách: 25 || Số lượng vật phẩm sau khi tách: 1405 và 25|| Thời gian tách : 2022-05-25 16:54:25

 Name : cocailon đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 1405 || Số lượng tách: 25 || Số lượng vật phẩm sau khi tách: 1380 và 25|| Thời gian tách : 2022-05-25 16:54:28

 Name : cocailon đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 1380 || Số lượng tách: 25 || Số lượng vật phẩm sau khi tách: 1355 và 25|| Thời gian tách : 2022-05-25 16:54:31

 Name : cocailon đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 1355 || Số lượng tách: 25 || Số lượng vật phẩm sau khi tách: 1330 và 25|| Thời gian tách : 2022-05-25 16:54:33

 Name : cocailon đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 1330 || Số lượng tách: 25 || Số lượng vật phẩm sau khi tách: 1305 và 25|| Thời gian tách : 2022-05-25 16:54:35

 Name : 5cmmmm đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 35 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 34 và 1|| Thời gian tách : 2022-05-25 16:57:03

 Name : 5cmmmm đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 17 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 16 và 1|| Thời gian tách : 2022-05-25 16:57:50

 Name : 5cmmmm đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 16 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 15 và 1|| Thời gian tách : 2022-05-25 16:57:56

 Name : 5cmmmm đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 14 và 1|| Thời gian tách : 2022-05-25 16:58:01

 Name : 5cmmmm đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 14 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 13 và 1|| Thời gian tách : 2022-05-25 16:58:05

 Name : 5cmmmm đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 13 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 12 và 1|| Thời gian tách : 2022-05-25 16:58:13

 Name : 5cmmmm đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 11 và 1|| Thời gian tách : 2022-05-25 16:58:27

 Name : 5cmmmm đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 34 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 33 và 1|| Thời gian tách : 2022-05-25 16:59:04

 Name : 5cmmmm đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 33 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 32 và 1|| Thời gian tách : 2022-05-25 16:59:17

 Name : 5cmmmm đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 32 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 31 và 1|| Thời gian tách : 2022-05-25 16:59:20

 Name : 5cmmmm đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 31 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 30 và 1|| Thời gian tách : 2022-05-25 16:59:25

 Name : 5cmmmm đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 30 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 29 và 1|| Thời gian tách : 2022-05-25 16:59:29

 Name : 5cmmmm đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 29 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 28 và 1|| Thời gian tách : 2022-05-25 16:59:52

 Name : 5cmmmm đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 28 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 27 và 1|| Thời gian tách : 2022-05-25 16:59:55

 Name : 5cmmmm đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 27 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 26 và 1|| Thời gian tách : 2022-05-25 16:59:59

 Name : 5cmmmm đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 26 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 25 và 1|| Thời gian tách : 2022-05-25 17:00:02

 Name : embexx đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 1738 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1688 và 50|| Thời gian tách : 2022-05-25 17:35:22

 Name : embexx đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 1688 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1638 và 50|| Thời gian tách : 2022-05-25 17:35:25

 Name : embexx đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 1638 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1588 và 50|| Thời gian tách : 2022-05-25 17:35:28

 Name : embexx đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 1588 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1538 và 50|| Thời gian tách : 2022-05-25 17:35:30

 Name : embexx đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 1538 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1488 và 50|| Thời gian tách : 2022-05-25 17:35:48

