
 Name : apocalypse đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2822 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 2722 và 100|| Thời gian tách : 2022-03-24 16:54:53

 Name : apocalypse đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2722 || Số lượng tách: 122 || Số lượng vật phẩm sau khi tách: 2600 và 122|| Thời gian tách : 2022-03-24 16:56:07

 Name : apocalypse đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2722 || Số lượng tách: 122 || Số lượng vật phẩm sau khi tách: 2600 và 122|| Thời gian tách : 2022-03-24 16:56:13

 Name : apocalypse đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 4530 || Số lượng tách: 3500 || Số lượng vật phẩm sau khi tách: 1030 và 3500|| Thời gian tách : 2022-03-24 16:58:51

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 1842 || Số lượng tách: 42 || Số lượng vật phẩm sau khi tách: 1800 và 42|| Thời gian tách : 2022-03-24 17:00:17

 Name : inzaghi đã tách vật phẩm || Vật phẩm tách: 639 || Số lượng vật phẩm ban đầu 2029 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2028 và 1|| Thời gian tách : 2022-03-24 17:10:23

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 1842 || Số lượng tách: 342 || Số lượng vật phẩm sau khi tách: 1500 và 342|| Thời gian tách : 2022-03-24 17:15:30

 Name : dolongdao đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 3500 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 3000 và 500|| Thời gian tách : 2022-03-24 17:18:49

 Name : minuong đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 1 và 2|| Thời gian tách : 2022-03-24 17:34:00

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 1688 || Số lượng tách: 188 || Số lượng vật phẩm sau khi tách: 1500 và 188|| Thời gian tách : 2022-03-24 17:37:38

 Name : danchoi65 đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2115 || Số lượng tách: 115 || Số lượng vật phẩm sau khi tách: 2000 và 115|| Thời gian tách : 2022-03-24 18:21:21

 Name : hungdaica đã tách vật phẩm || Vật phẩm tách: 573 || Số lượng vật phẩm ban đầu 136 || Số lượng tách: 135 || Số lượng vật phẩm sau khi tách: 1 và 135|| Thời gian tách : 2022-03-24 18:38:22

 Name : hungdaica đã tách vật phẩm || Vật phẩm tách: 573 || Số lượng vật phẩm ban đầu 136 || Số lượng tách: 135 || Số lượng vật phẩm sau khi tách: 1 và 135|| Thời gian tách : 2022-03-24 18:39:48

 Name : vjpnsoae đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 3430 || Số lượng tách: 300 || Số lượng vật phẩm sau khi tách: 3130 và 300|| Thời gian tách : 2022-03-24 18:48:45

 Name : vjpnsoae đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 3130 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 2630 và 500|| Thời gian tách : 2022-03-24 19:00:28

 Name : boss6789 đã tách vật phẩm || Vật phẩm tách: 437 || Số lượng vật phẩm ban đầu 124 || Số lượng tách: 80 || Số lượng vật phẩm sau khi tách: 44 và 80|| Thời gian tách : 2022-03-24 19:24:39

 Name : taixiuchanle đã tách vật phẩm || Vật phẩm tách: 17 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 4 và 2|| Thời gian tách : 2022-03-24 20:23:27

 Name : huongly đã tách vật phẩm || Vật phẩm tách: 575 || Số lượng vật phẩm ban đầu 1126 || Số lượng tách: 126 || Số lượng vật phẩm sau khi tách: 1000 và 126|| Thời gian tách : 2022-03-24 20:25:10

 Name : boss6789 đã tách vật phẩm || Vật phẩm tách: 436 || Số lượng vật phẩm ban đầu 247 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 147 và 100|| Thời gian tách : 2022-03-24 20:34:22

 Name : nsobotnet đã tách vật phẩm || Vật phẩm tách: 638 || Số lượng vật phẩm ban đầu 8067 || Số lượng tách: 6000 || Số lượng vật phẩm sau khi tách: 2067 và 6000|| Thời gian tách : 2022-03-24 20:51:54

 Name : nsobotnet đã tách vật phẩm || Vật phẩm tách: 641 || Số lượng vật phẩm ban đầu 7888 || Số lượng tách: 6000 || Số lượng vật phẩm sau khi tách: 1888 và 6000|| Thời gian tách : 2022-03-24 20:52:02

