
 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2114 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 2014 và 100|| Thời gian tách : 2022-06-09 21:00:57

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 2014 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1914 và 100|| Thời gian tách : 2022-06-09 21:01:02

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1914 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1814 và 100|| Thời gian tách : 2022-06-09 21:01:07

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1814 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1714 và 100|| Thời gian tách : 2022-06-09 21:01:12

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1714 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1614 và 100|| Thời gian tách : 2022-06-09 21:01:17

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1614 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1514 và 100|| Thời gian tách : 2022-06-09 21:01:23

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1505 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1405 và 100|| Thời gian tách : 2022-06-09 21:02:46

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1405 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1305 và 100|| Thời gian tách : 2022-06-09 21:02:51

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1305 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1205 và 100|| Thời gian tách : 2022-06-09 21:02:55

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 1205 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1105 và 100|| Thời gian tách : 2022-06-09 21:03:00

 Name : dbrrhaha đã tách vật phẩm || Vật phẩm tách: 639 || Số lượng vật phẩm ban đầu 17271 || Số lượng tách: 6983 || Số lượng vật phẩm sau khi tách: 10288 và 6983|| Thời gian tách : 2022-06-09 21:21:11

